,fips,percent_cases,poverty_percent,median_household_income,always,frequently,sometimes,rarely,never
2781,06039,0.11,0.18,61105.0,0.7509999999999999,0.124,0.048,0.059000000000000004,0.019
1982,06041,0.06,0.07,112069.0,0.802,0.141,0.046,0.0,0.011000000000000001
2615,06043,0.03,0.15,52760.0,0.6609999999999999,0.18600000000000003,0.049,0.094,0.01
2935,06045,0.05,0.14,52309.0,0.77,0.222,0.004,0.003,0.002
2749,06047,0.12,0.17,59733.0,0.703,0.146,0.08900000000000001,0.036000000000000004,0.026000000000000002
2946,06049,0.06,0.2,45311.0,0.615,0.204,0.095,0.019,0.068
2891,06051,0.09,0.1,66226.0,0.88,0.07,0.012,0.026000000000000002,0.011000000000000001
2926,06053,0.11,0.13,76509.0,0.763,0.141,0.066,0.006,0.023
1899,06055,0.07,0.07,90230.0,0.773,0.149,0.033,0.026000000000000002,0.017
2284,06057,0.05,0.09,69550.0,0.682,0.177,0.084,0.054000000000000006,0.003
2248,06059,0.09,0.1,95761.0,0.754,0.156,0.046,0.021,0.023
2625,06061,0.06,0.07,97688.0,0.693,0.201,0.07200000000000001,0.023,0.012
2851,06063,0.04,0.13,59376.0,0.6709999999999999,0.146,0.053,0.067,0.063
3019,06065,0.12,0.11,72905.0,0.8029999999999999,0.11599999999999999,0.040999999999999995,0.013999999999999999,0.026000000000000002
2315,06067,0.07,0.13,71891.0,0.722,0.16399999999999998,0.062,0.027999999999999997,0.025
2588,06069,0.09,0.1,84209.0,0.7390000000000001,0.175,0.063,0.004,0.018000000000000002
3052,06071,0.14,0.13,67398.0,0.768,0.134,0.048,0.022000000000000002,0.027000000000000003
2960,06073,0.08,0.1,83576.0,0.8,0.126,0.034,0.023,0.017
162,06075,0.05,0.1,121795.0,0.8170000000000001,0.121,0.035,0.011000000000000001,0.017
2598,06077,0.1,0.14,68458.0,0.68,0.165,0.081,0.019,0.054000000000000006
2918,06079,0.08,0.12,76599.0,0.745,0.16899999999999998,0.037000000000000005,0.024,0.025
1802,06081,0.06,0.06,135234.0,0.7859999999999999,0.126,0.057999999999999996,0.013000000000000001,0.016
2927,06083,0.08,0.12,74530.0,0.737,0.153,0.075,0.02,0.015
2560,06085,0.06,0.06,132444.0,0.764,0.168,0.04,0.013999999999999999,0.015
1399,06087,0.07,0.11,85770.0,0.797,0.109,0.086,0.0,0.008
2933,06089,0.07,0.13,61464.0,0.547,0.23199999999999998,0.071,0.055999999999999994,0.095
2271,06091,0.02,0.13,55862.0,0.617,0.14300000000000002,0.047,0.053,0.14
3008,06093,0.06,0.17,45954.0,0.546,0.16699999999999998,0.08199999999999999,0.07400000000000001,0.132
2156,06095,0.08,0.09,85704.0,0.728,0.14800000000000002,0.035,0.046,0.043
2694,06097,0.06,0.07,87084.0,0.795,0.149,0.022000000000000002,0.012,0.022000000000000002
2635,06099,0.12,0.13,62761.0,0.705,0.17300000000000001,0.062,0.027999999999999997,0.032
1401,06101,0.1,0.13,60910.0,0.669,0.163,0.08,0.031,0.057999999999999996
2879,06103,0.08,0.16,51672.0,0.545,0.195,0.141,0.062,0.057
2896,06105,0.03,0.16,43881.0,0.5920000000000001,0.201,0.055,0.07,0.081
2976,06107,0.11,0.19,56776.0,0.685,0.136,0.115,0.039,0.025
2799,06109,0.08,0.11,64729.0,0.653,0.212,0.084,0.043,0.008
2788,06111,0.1,0.08,91446.0,0.777,0.156,0.033,0.011000000000000001,0.024
2346,06113,0.07,0.17,70951.0,0.7909999999999999,0.156,0.04,0.005,0.006999999999999999
1514,06115,0.08,0.15,56607.0,0.669,0.16699999999999998,0.071,0.035,0.057
2498,08001,0.12,0.09,75341.0,0.685,0.185,0.071,0.027000000000000003,0.032
1756,08003,0.12,0.2,38213.0,0.493,0.228,0.094,0.133,0.052000000000000005
1941,08005,0.1,0.07,82364.0,0.703,0.193,0.065,0.026000000000000002,0.013000000000000001
2579,08007,0.08,0.11,57604.0,0.488,0.276,0.155,0.040999999999999995,0.040999999999999995
2844,08009,0.09,0.19,38945.0,0.435,0.20600000000000002,0.19399999999999998,0.053,0.113
2640,08011,0.39,0.34,35764.0,0.5670000000000001,0.191,0.172,0.036000000000000004,0.033
1823,08013,0.08,0.11,88341.0,0.75,0.195,0.032,0.015,0.008
0,08014,0.07,0.04,106892.0,0.7340000000000001,0.201,0.042,0.005,0.018000000000000002
2337,08015,0.09,0.11,60331.0,0.645,0.138,0.134,0.045,0.038
2698,08017,0.07,0.14,52337.0,0.292,0.39799999999999996,0.106,0.187,0.016
517,08019,0.05,0.07,79900.0,0.723,0.12300000000000001,0.138,0.015,0.002
2550,08021,0.09,0.2,40944.0,0.545,0.195,0.09300000000000001,0.106,0.06
2514,08023,0.07,0.25,34731.0,0.644,0.175,0.076,0.07200000000000001,0.034
1927,08025,0.71,0.4,38224.0,0.59,0.294,0.08,0.034,0.002
1799,08027,0.05,0.12,57381.0,0.498,0.23399999999999999,0.153,0.098,0.017
2463,08029,0.1,0.15,51525.0,0.45,0.295,0.07400000000000001,0.094,0.087
69,08031,0.1,0.12,75456.0,0.7070000000000001,0.19399999999999998,0.062,0.018000000000000002,0.02
2386,08033,0.06,0.13,50232.0,0.591,0.252,0.066,0.039,0.052000000000000005
2003,08035,0.1,0.03,123697.0,0.6729999999999999,0.192,0.081,0.040999999999999995,0.013000000000000001
